月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,6,17,4.8,2.2,63.88888889,13.88888889,105.5555556,0.7,61.8
1,6,18,4,2.5,0,0,97.22222222,0,0
1,6,19,3.3,2.5,0,0,91.66666667,0,0
1,6,20,3,2.4,0,0,88.88888889,0,0
1,6,21,2.6,2.5,0,0,83.33333333,0,0
1,6,22,2.3,2.5,0,0,80.55555556,0,0
1,6,23,2.4,2.5,0,0,77.77777778,0,0
1,6,24,1.9,2.5,0,0,72.22222222,0,0
1,7,1,1.9,2.5,0,0,69.44444444,0,0
1,7,2,1.7,2.6,0,0,66.66666667,0,0
1,7,3,1.8,2.6,0,0,63.88888889,0,0
1,7,4,1.7,2.8,0,0,58.33333333,0,0
1,7,5,0.9,2.7,0,0,52.77777778,0,0
1,7,6,0.6,2.8,0,0,50,0,0
1,7,7,1,2.8,0,0,44.44444444,0,0
1,7,8,1.8,3,44.44444444,33.33333333,44.44444444,7.6,-55.9
1,7,9,3.8,3.1,22.22222222,63.88888889,38.88888889,17.2,-45.6
1,7,10,7.2,3.4,255.5555556,161.1111111,69.44444444,25.1,-33.4
1,7,11,7.7,3.5,38.88888889,150,44.44444444,30.5,-19
1,7,12,7.7,3.7,22.22222222,136.1111111,38.88888889,32.9,-2.9
1,7,13,9.4,3.9,25,127.7777778,38.88888889,31.8,13.5
1,7,14,9.2,4,19.44444444,111.1111111,41.66666667,27.3,28.6
1,7,15,9,4,22.22222222,77.77777778,38.88888889,20.2,41.6
1,7,16,9,4.1,22.22222222,41.66666667,38.88888889,11.2,52.5
1,7,17,8.9,4.3,2.777777778,5.555555556,41.66666667,0.8,61.8
1,7,18,8.7,4.3,0,0,44.44444444,0,0
1,7,19,8.4,4.3,0,0,47.22222222,0,0
1,7,20,7.9,4.4,0,0,50,0,0
1,7,21,7.4,4.4,0,0,52.77777778,0,0
1,7,22,7.2,4.2,0,0,55.55555556,0,0
1,7,23,7.5,4.2,0,0,61.11111111,0,0
1,7,24,6.8,4.2,0,0,61.11111111,0,0
1,8,1,5.7,4.1,0,0,63.88888889,0,0
1,8,2,5.5,4.2,0,0,66.66666667,0,0
1,8,3,5.4,4.1,0,0,69.44444444,0,0
1,8,4,4.2,4.1,0,0,72.22222222,0,0
1,8,5,3.9,4.1,0,0,72.22222222,0,0
1,8,6,3.2,3.9,0,0,77.77777778,0,0
1,8,7,3.4,4.1,0,2.777777778,77.77777778,0,0
1,8,8,3.2,4.1,361.1111111,41.66666667,80.55555556,7.7,-56.1
1,8,9,5,4.3,652.7777778,66.66666667,94.44444444,17.2,-45.8
1,8,10,6.6,4.5,775,77.77777778,97.22222222,25.1,-33.6
1,8,11,8.7,4.6,822.2222222,86.11111111,100,30.6,-19.1
1,8,12,10.5,4.9,830.5555556,91.66666667,100,33,-3
