種類,1,2,3,4,5,6,7,8,9,key,項目名,必須,条件,型,単位,入力,備考
,,,,,〇,,,,,,,,,str,－,"{'outdoor', 'open_space', 'closed_space', 'open_underfloor', 'air_conditioned', 'closed_underfloor'}",「外気」「外気に通じる空間」「外気に通じていない空間」「外気に通じる床裏」「住戸及び住戸と同様の熱的環境の空間」「外気に通じていない床裏」
,,,,〇,,,,,,directions,方位,〇,,list,－,,
,,,,,〇,,,,,,,,,str,－,"'top', 'n', 'ne', 'e', 'se', 's', 'sw', 'w', 'nw', 'bottom', 'upward', 'horizontal', 'downward'",「外気上面」「外気北」「外気北東」「外気東」「外気南東」「外気南」「外気南西」「外気西」「外気北西」「外気下面」「外気以外上面」「外気以外鉛直面」「外気以外下面」
,,,,〇,,,,,,length,長さ,〇,,float,m,,
,,,,〇,,,,,,space_type,接する室の用途,〇,,str,－,"{'main_occupant_room', 'other_occupant_room', 'non_occupant_room', 'underfloor', 'undefined'}",「主たる居室」「その他の居室」「非居室」「床下」「未定義」
,,,,〇,,,,,,spec,仕様,〇,,dict,－,,
,,,,,〇,,,,,psi_value,線熱貫流率,〇,,float,W/m2K,,
sunshade,〇,,,,,,,,,sunshade,日よけ,〇,,dict,,,
,,〇,,,,,,,,is_defined,定義の有無,〇,,bool,,,
,,〇,,,,,,,,input,入力方法,〇,{'is_defined': True},str,,"{'not_input', 'not_exist', 'simple', 'complex'}",
,,〇,,,,,,,,depth,庇・軒の出幅,△,{'input_method': 'simple'},float,m,,
,,〇,,,,,,,,d_h,窓の高さ,△,{'input_method': 'simple'},float,m,,
,,〇,,,,,,,,d_e,窓の上端から庇までの距離,△,{'input_method': 'simple'},float,m,,
,,〇,,,,,,,,x1,庇水平方向の出(左),△,{'input_method': 'detailed'},float,m,,
,,〇,,,,,,,,x2,窓幅,△,{'input_method': 'detailed'},float,m,,
,,〇,,,,,,,,x3,庇水平方向の出(右),△,{'input_method': 'detailed'},float,m,,
,,〇,,,,,,,,y1,上部庇の窓上端からの距離,△,{'input_method': 'detailed'},float,m,,
,,〇,,,,,,,,y2,窓高さ,△,{'input_method': 'detailed'},float,m,,
,,〇,,,,,,,,y3,下部庇の窓下端からの距離,△,{'input_method': 'detailed'},float,m,,
,,〇,,,,,,,,z_x_pls,側壁右の出幅,△,{'input_method': 'detailed'},float,m,,
,,〇,,,,,,,,z_x_mns,側壁左の出幅,△,{'input_method': 'detailed'},float,m,,
,,〇,,,,,,,,z_y_pls,上部庇の出幅,△,{'input_method': 'detailed'},float,m,,
,,〇,,,,,,,,z_y_mns,下部庇の出幅,△,{'input_method': 'detailed'},float,m,,
layers,〇,,,,,,,,,layers,層,〇,,list,,,
,,〇,,,,,,,,,,,,dict,,,
,,,〇,,,,,,,name,名称,〇,,str,,,
,,,〇,,,,,,,heat_resistance_input_method,熱抵抗の入力方法,〇,,str,,"{'conductivity', 'resistance'}",
,,,〇,,,,,,,thermal_conductivity,熱伝導率,△,{'heat_resistance_input_method': 'conductivity'},float,W/mK,,
,,,〇,,,,,,,thermal_resistance,熱抵抗,△,{'heat_resistance_input_method': 'resistance'},float,m2K/W,,
,,,〇,,,,,,,thickness,厚さ,〇,,float,m,,
,,,〇,,,,,,,volumetric_specific_heat,容積比熱,〇,,float,J/LK,,
